ra;nomealuno;codcurso;genero;Estado Civil;datanasc;logradouro;endereco;numero;complemento;Bairro;Cidade;UF;Regiao;Pais;CEP;E-mail;telefone;situacao
104603;Diogo Da Silva Alves Junior;127;2;1;21/04/02;Rua;Da Fazenda;753;Apt 302;Bangu;RIO DE JANEIRO;RJ;SUDESTE;BR;21870370;diogo.s.dasilva@gmail.com;(21) 915437509;Trancado
104604;Diogo Da Silva Amorim Terceiro;133;2;1;25/01/03;Avenida;Da Fazenda;830;;Pioneiro;LUCAS DO RIO VERDE;MT;CENTRO OESTE;BR;78455000;diogoschvinn@oi.com.br;(65) 954061513;Concluido
104605;Diogo Da Silva Anacleto III;134;2;1;05/07/96;Avenida;Da Felicidade;1059;Casa;Gravatá;NAVEGANTES;SC;SUL;BR;88372646;diogo.semann@gmail.com;(47) 929546789;Trancado
104606;Diogo Da Silva Andrade Primeiro;136;2;1;05/12/02;Rua;Da Floresta;337;;Bela Vista;SAO PAULO;SP;SUDESTE;BR;1315000;diogo.mendes@nec.com.br;(11) 968072494;Concluido
104607;Diogo Da Silva Andre Primo;128;2;1;02/05/99;Rua;Da Floresta;752;Apt 221;Jardim Dayse;FERRAZ DE VASCONCELOS;SP;SUDESTE;BR;8528400;diogo.redes@yahoo.com.br;(11) 933635633;Concluido
104608;Diogo Da Silva Annes I;129;2;4;27/04/89;Estrada;Da Fonte;534;;Realengo;RIO DE JANEIRO;RJ;SUDESTE;BR;21745290;diogosilva06@hotmail.com;(21) 982144132;Cancelado
104609;Diogo Da Silva Antonio Primo;137;2;1;25/03/99;Avenida;Da Fontinha;1350;Cs 22;Parque Villa Flores;SUMARE;SP;SUDESTE;BR;13175658;diogo_santos@click21.com.br;(19) 954177516;Cancelado
104610;Diogo Da Silva Antony Primeiro;125;2;1;12/05/99;Rua;Da Fortuna;1873;Loja;Bacaxá;SAQUAREMA;RJ;SUDESTE;BR;28990000;simoes.diogo@hotmail.com;(22) 980113986;Ativo
104611;Diogo Da Silva Araujo Junior;124;2;1;24/12/99;Rua;Da Gávea;675;;Concordia;BELO HORIZONTE;MG;SUDESTE;BR;31110680;diogochbittencourt@gmail.com;(31) 976021430;Trancado
104612;Diogo Da Silva Araujo Terceiro;125;2;3;18/03/95;Rua;Da Gávea;148;Cs;Grajao;RIO DE JANEIRO;RJ;SUDESTE;BR;20561050;diogotferreira@yahoo.com.br;(21) 966109361;Trancado
104613;Diogo Da Silva Avila I;126;2;1;11/10/95;Rua;Da Gazela;1930;Casa;Portão;CURITIBA;PR;SUL;BR;80320140;diogoty@hotmail.com;(41) 959332847;Concluido
104614;Dionatan Da Silva Azevedo Segundo;125;2;1;18/03/98;Avenida;Da Gloria;556;Apt 205;Azenha;PORTO ALEGRE;RS;SUL;BR;90040191;dtmattjie@gmail.com;(51) 983590387;Concluido
104615;Dionatan Da Silva Azevedo Neto;124;2;1;06/11/00;Avenida;Da Glória;212;128;São Mateus;BOM SUCESSO 1;ES;SUDESTE;BR;29943780;dionatanvc@hotmail.com;(28) 984681122;Ativo
104616;Dionathan Da Silva Azevedo Primus;133;2;2;24/08/91;Rua;Da Glória;356;75;Gravataí;BOM SUCESSO;RS;SUL;BR;94135310;dionathantborges@gmail.com;(43) 915054936;Trancado
104617;Dione Da Silva Azevedo Primus;130;2;1;01/10/02;Rua;Da Graça;1539;;Icarai;NITERÓI;RJ;SUDESTE;BR;24220380;dione@sankhya.com.br;(21) 918978206;Trancado
104618;Dionei Da Silva Bahury Primus;123;2;2;13/09/94;Rua;Da Groelandia;1043;;Agua Verde;BLUMENAU;SC;SUL;BR;89036640;dionei_reichert@globo.com;(47) 968239130;Ativo
104619;Diones Da Silva Barbosa Primus;126;2;1;23/10/96;Rua;Da Imigracao;317;;Santa Paula 2;VILA VELHA;ES;SUDESTE;BR;29126260;dionescristian2@hotmail.com;(27) 902996009;Concluido
104620;Diones Da Silva Barbosa I;125;2;3;30/04/95;Rua;Da Imperatriz;1114;;Palhada;NOVA IGUAÇÚ;RJ;SUDESTE;BR;26290027;diones.ferreira@click21.com.br;(22) 970312086;Trancado
104621;Diones Da Silva Barbosa Primus;135;2;1;13/04/98;Rua;Da Imperatriz;1960;Bloco 19  Apto. 1051;Palmas do Tremembé;SAO JOAO DO OESTE;SC;SUL;BR;89897000;uilians@sideri.com.br;(49) 971163128;Trancado
104622;Diones Da Silva Barbosa Primus;124;2;1;26/05/99;Avenida;Da Imperatriz;1849;50;Campo Largo;CENTRO;PR;SUL;BR;83601070;pallu@pallu.com.br;(44) 999439878;Ativo
104623;Dionisio Da Silva Barcellos Primus;131;2;4;03/11/92;Condominio;Da Independencia;135;Qd 15 Casa 30;Setor Habitacional Jardim Botanico;BRASILIA;DF;CENTRO OESTE;BR;71680357;dionisio.pinheiro@gmail.com;(61) 978060149;Ativo
104624;Diorgenes Da Silva Barros Neto;131;2;1;25/10/96;Rua;Da Independência;515;Ap 82;Ponte Grande;GUARULHOS;SP;SUDESTE;BR;7032000;dioferrib@gmail.com;(11) 984269497;Cancelado
104625;Diórgenes Da Silva Barros Primus;134;2;2;18/02/89;Rua;Da Inspiracao;1377;Chácara;Riacho Fundo I;BRASILIA;DF;CENTRO OESTE;BR;71828009;diorgenes_@hotmail.com;(61) 941839536;Concluido
104626;Diosi Da Silva Bessa III;132;2;1;04/11/01;Rua;Da Jaqueira;1446;1242;Aparecida Do Taboado;CHACARA BOA VISTA;MS;CENTRO OESTE;BR;79570000;empresapontonet@hotmail.com;(67) 962928759;Concluido
104627;Diovane Da Silva Bomfim Primus;133;2;1;02/10/02;Quadra;Da Justiça;1564;C 2 Conjunto 2 St Leste;Setor Leste (Vila Estrutural - Guar;BRASILIA;DF;CENTRO OESTE;BR;71261610;diovane.gamasi@gmail.cm;(61) 976211771;Concluido
104628;Diovani Da Silva Bonifacio Neto;127;2;3;12/09/91;Rua;Da Lagoa;1037;;Paqueta;BELO HORIZONTE;MG;SUDESTE;BR;31340250;diovaniluiz@yahoo.com.br;(31) 959771443;Cancelado
104629;Diovanni Da Silva Borges Primus;131;2;4;07/06/95;Avenida;Da Laguna;31;Apt 301;Estoril;BELO HORIZONTE;MG;SUDESTE;BR;30494170;diovanni@vmtubes.com.br;(31) 987139163;Trancado
104630;Dirceu Da Silva Borges I;130;2;1;05/11/98;Rua;Da Lapa;1325;Apt 401;Copacabana;RIO DE JANEIRO;RJ;SUDESTE;BR;22031010;dirceusobrinho@hotmail.com;(21) 937718764;Concluido
104631;Dirceu Da Silva Boy Terceiro;131;2;1;02/07/96;Avenida;Da Lapa;682;Ed. Ipiranga I E Ii;Nao Encontrado;CURITIBA;PR;SUL;BR;80050040;komakino@myrealbox.com;(41) 951748691;Concluido
104632;Dirceu Da Silva Brandao III;137;2;1;24/08/00;Avenida;Da Lapa;925;;Centro;CAXIAS DO SUL;RS;SUL;BR;95020340;dirceu_fc@yahoo.com.br;(54) 909001895;Trancado
104633;Dirceu Da Silva Brito III;138;2;1;17/09/96;Avenida;Da Lapa;1429;Bl7  Apto 303;Bangu;RIO DE JANEIRO;RJ;SUDESTE;BR;21862160;dirceu.jr@gmail.com;(21) 987088301;Trancado
104634;Dirlene Da Silva Brito Brito I;131;1;1;07/11/01;Rodovia;Da Liberdade;124;Km 212;Distrito Industrial;SAO JOSE;SC;SUL;BR;88104800;karoline.martins@intelbras.com.br;(48) 942806817;Concluido
104635;Dirley Da Silva Brum Primeiro;125;1;4;04/09/84;Quadra;Da Liberdade;1177;Casa;Recanto Das Emas;RECANTO DAS EMAS;DF;CENTRO OESTE;BR;72610104;dirleyalvess@gmail.com;(61) 986987446;Ativo
104636;Diter Da Silva Bueno Primeiro;124;2;2;10/01/92;Rua;Da Liberdade;1971;Apt 141;Vila Clementino;SAO PAULO;SP;SUDESTE;BR;4021051;diter.dos.santos@gmail.com;(11) 912126077;Trancado
104637;Divina Da Silva Busato Junior;130;1;1;03/11/99;Avenida;Da Liberdade;1862;Qd 09 Lt Area Bl 07 Apt 1;Setor Goiania 2;GOIANIA;GO;CENTRO OESTE;BR;74665555;andreiamm3@yahoo.com.br;(62) 949537168;Trancado
104638;Divonei Da Silva Caldeira Primeiro;132;2;2;28/08/91;Rua;Da Ligação;744;;Santa Felicidade;CURITIBA;PR;SUL;BR;82320250;divoneipavan@hotmail.com;(41) 925113081;Cancelado
104639;Djacir Da Silva Camara III;135;2;1;05/06/98;Avenida;Da Maca;753;Bloco A1 Apto.104;Sancho;RECIFE;PE;NORDESTE;BR;50920310;santos.maciel@gmail.com;(81) 924304201;Trancado
104640;Djair Da Silva Campos Neto;136;2;3;08/07/92;Rua;Da Mandira;981;Ap401 Bl1;Ouro Preto;BELO HORIZONTE;MG;SUDESTE;BR;31330500;djair.soares@gmail.com;(31) 918784042;Ativo
104641;Djalma Da Silva Candido III;120;2;1;18/09/97;Rua;Da Mata;1856;;Parque Campolim;SOROCABA;SP;SUDESTE;BR;18048130;djalma.marinho@gmail.com;(15) 983541361;Cancelado
104642;Djalma Da Silva Cardoso II;124;2;1;26/10/96;Avenida;Da Mata .Passagem São Jorge.;753;Casa 244;Coophema;CUIABA;MT;CENTRO OESTE;BR;78085100;djalmaribeiro@terra.com.br;(66) 905189073;Ativo
104643;Djalma Da Silva Carvalho III;135;2;1;29/03/96;Rua;Da Matriz;1040;;Vila Mazzei;SAO PAULO;SP;SUDESTE;BR;2309030;skdu@ig.com.br;(11) 910193051;Concluido
104644;Djalma Da Silva Carvalho II;137;2;1;25/12/95;Rua;Da Matriz;1611;;Centro;SAO CAETANO DO SUL;SP;SUDESTE;BR;9521050;djavini@aol.com;(11) 944077257;Cancelado
104645;Djeison Da Silva Castilho III;137;2;3;22/02/89;Rua;Da Matriz;172;Ap104;Jardim Cidade De Florianopolis;SAO JOSE;SC;SUL;BR;88111310;djeisonmachado@gmail.com;(48) 916483651;Cancelado
104646;Djonatas Da Silva Castro Primus;134;2;1;12/10/95;Rua;Da Mooca;692;Apto 105;Praia De Itaparica;VILA VELHA;ES;SUDESTE;BR;29102120;djonatastulio@gmail.com;(27) 953791445;Cancelado
104647;Dolores Da Silva Cecconello Segundo;123;1;4;26/04/73;Rua;Da Mooca;1605;Casa;Vila Nova Curuçá;SAO PAULO;SP;SUDESTE;BR;8031190;diasrodrigo_@hotmail.com;(11) 990284391;Ativo
104648;Domenica Da Silva Coelho De Miranda Junior;137;2;1;13/03/98;Rua;Da Mutamba;312;;Parque Sao Vicente;SAO VICENTE;SP;SUDESTE;BR;11355490;domenica.stein@egs.com.br;(13) 965578431;Concluido
104649;Domingos Da Silva Condi Terceiro;131;2;2;03/04/92;Rua;Da Paciencia;209;;Liberdade;SAO LUIS;MA;NORDESTE;BR;65035050;jhunior34@hotmail.com;(98) 917494714;Cancelado
104650;Domingos Da Silva Conterato I;134;2;2;22/08/91;Quadra;Da Paciencia;837;;Jardim Roriz (Planaltina);BRASILIA;DF;CENTRO OESTE;BR;73340106;domingos.jesuslima@gmail.com;(61) 900591395;Trancado
104651;Domingos Da Silva Cordeiro Segundo;127;2;3;11/07/88;Avenida;Da Paciência;782;Ap-01;Jardim Leonor Mendes De Barros;SAO PAULO;SP;SUDESTE;BR;2346000;vitiello.sanches@gmail.com;(11) 954136598;Concluido
104652;Domingos Da Silva Correa ;123;2;1;09/05/97;Rua;Da Patria;1622;Belo Vale;Parque Esplanada Ii;VALPARAISO DE GOIÁS;GO;CENTRO OESTE;BR;72878012;domingos.machado@camara.leg.br;(61) 934616465;Ativo
104653;Domingos Da Silva Correia Jr ;130;2;1;16/03/02;Rua;Da Pátria;1442;;Luanda;LUANDA;PR;Outro País;AO;18132680;domanuell@gmail.com;(44) 964657358;Trancado
104654;Domingos Da Silva Costa ;133;2;1;16/04/03;Rua;Da Paz;290;Casa 84;Viana;LUANDA;PR;Outro País;AO;18132680;dpbc.uma@gmail.com;(44) 905794072;Cancelado
104655;Domingos Da Silva Costa ;122;2;2;03/08/93;Rua;Da Paz;133;Quadra 07;Itinga;LAURO DE FREITAS;BA;NORDESTE;BR;42700000;demiccna@gmail.com;(71) 987322898;Cancelado
104656;Domingos Da Silva Costa ;137;2;4;29/01/95;Rua;Da Paz;1187;Apt 2;Saco Dos Limoes;FLORIANOPOLIS;SC;SUL;BR;88045110;doowindows@hotmail.com;(49) 961935384;Concluido
104657;Dominique Da Silva Costa ;131;2;2;12/02/88;Rua;Da Paz;1049;;Cidade Edson;SUZANO;SP;SUDESTE;BR;8665400;dominiquecoulange@yahoo.com.br;(11) 901528424;Cancelado
104658;Doneli Da Silva Costa ;130;2;2;19/05/95;Rua;Da Pedra Nª: 4662;78;Apto 104;Recreio Dos Bandeirantes;RIO DE JANEIRO;RJ;SUDESTE;BR;22795090;donelly80@hotmail.com;(21) 981423864;Cancelado
104659;Dongala Da Silva Costa Couto ;133;2;1;27/10/98;Rua;Da Pedreira;1478;;Kilamba;KILAMBA;PR;Outro País;AO;43124124;soaresjsmendes@gmail.com;(44) 969743493;Cancelado
104660;Doniseti Da Silva Cunha ;135;2;2;07/04/93;Rua;Da Pedreira;1416;;Socorro;SAO PAULO;SP;SUDESTE;BR;4763170;donisetimachado@click21.com.br;(11) 931395323;Concluido
104661;Donizete Da Silva Curcio ;121;2;1;13/06/03;Rua;Da Pedreira;517;;Vila Espanhola;SAO PAULO;SP;SUDESTE;BR;2566010;juninho_and1@hotmail.com;(11) 932800838;Concluido
104662;Donizete Da Silva Cutodio ;133;2;3;16/09/93;Rua;Da Penha;1526;Casa 3;São José Dos Pinhais;CASA 3;PR;SUL;BR;83070165;maximiano.donizete@gmail.com;(44) 972949491;Cancelado
104663;Donizete Da Silva De Almeida ;120;2;4;06/09/87;Rua;Da Penha;211;;Parque Edu Chaves;SAO PAULO;SP;SUDESTE;BR;2229110;donizete@abetecnologia.com.br;(11) 995721448;Trancado
104664;Doralisa Da Silva De Araujo ;125;1;2;01/03/91;Rua;Da Perca;516;Bl 5 Ap 439;Sao Jose;PORTO ALEGRE;RS;SUL;BR;91520630;doliveir@cdl-poa.com.br;(51) 916476004;Ativo
104665;Dorcilio Da Silva De Jesus ;132;2;1;04/05/96;Rua;Da Pitanga;1370;;Olimpia;OLIMPIA;SP;SUDESTE;BR;15400000;dorciliojr@ig.com.br;(19) 911076135;Ativo
104666;Doriedson Da Silva De Mello ;124;2;1;09/02/97;Rua;Da Platina;780;Ap93Bloc2;Vila Butanta;SAO PAULO;SP;SUDESTE;BR;5360050;dsarmento@outlook.com;(11) 900899683;Cancelado
104667;Dorival Da Silva De Miranda ;134;2;4;06/11/88;Rua;Da Ponte Rasa;1939;Casa;Jardim America;RIO DE JANEIRO;RJ;SUDESTE;BR;21240090;dorivalcande@gmail.com;(21) 960757639;Cancelado
104668;Dorival Da Silva De Morais ;131;2;3;02/09/91;Rua;Da Posse;308;Cs 2;Jardim Quarto Centenario;MAUÁ;SP;SUDESTE;BR;9341135;dorivapjunior@hotmail.com;(11) 942334053;Ativo
104669;Dorival Da Silva De Oliveira ;126;2;1;29/05/99;Rua;Da Prata;467;Ap 65 Tor 3;Jardim Tupanci;BARUERI;SP;SUDESTE;BR;6414000;dori.mendes@gmail.com;(11) 931082320;Cancelado
104670;Dorival Da Silva De Souza ;125;2;3;25/12/92;Rua;Da Quintanda;138;;Vila Santa Maria;SAO SEBASTIAO DO PARAI;MG;SUDESTE;BR;37950000;dorivaljunior@bol.com.br;(38) 912023371;Trancado
104671;Dorival Da Silva Dias ;129;2;1;28/10/95;Rua;Da Relação;930;;Vila Lunardelli;CATANDUVA;SP;SUDESTE;BR;15800000;dorivalsantanna@gmail.com;(17) 967959499;Trancado
104672;Dorneles Da Silva Dias ;127;2;1;05/02/03;Avenida;Da Repoblica;768;1614;Vacaria;CENTRO;RS;SUL;BR;95200000;dorneles.toledo@yahoo.com.br;(55) 999294437;Trancado
104673;Dornelles Da Silva Diniz ;131;2;1;13/04/03;Rua;Da Represa;438;Casa;Parque Da Matriz;CACHOEIRINHA;RS;SUL;BR;94950590;dornelles.cunha@setenetwork.com.br;(51) 994561286;Cancelado
104674;Douglas Da Silva Do Vale ;124;2;1;28/07/00;Rua;Da Represa ();687;;Jardim Santa Adelia;SAO PAULO;SP;SUDESTE;BR;3973010;douglas.alaguera@gmail.com;(11) 947059246;Trancado
104675;Douglas Da Silva Domingues ;134;2;2;06/07/94;Avenida;Da Represa (Vl Jaú);119;;Centro;SANTO ANASTÁCIO;SP;SUDESTE;BR;19360000;doug.pavanelli@gmail.com;(18) 926538609;Cancelado
104676;Douglas Da Silva Duarte ;128;2;2;11/09/88;Avenida;Da Represa (Vl Jaú);507;;Setor Bela Vista;GOIÂNIA;GO;CENTRO OESTE;BR;74823400;douglasalexandre.vale@gmail.com;(62) 950019962;Trancado
104677;Douglas Da Silva E Melo Neto ;132;2;4;27/01/93;Rua;Da Riviera;837;Apt 202;Maria Virginia;BELO HORIZONTE;MG;SUDESTE;BR;31155320;miranda.douglas@yahoo.com.br;(31) 924685834;Trancado
104678;Douglas Da Silva E Silva ;130;2;4;24/06/91;Rua;Da Saode;169;38;Uba;S. DOMINGOS;MG;SUDESTE;BR;36500000;douglas_mgbr@yahoo.com.br;(38) 922310052;Concluido
104679;Douglas Da Silva Fagundes ;133;2;1;21/03/96;Avenida;Da Saudade;1225;Apt 404 Bl 2;Comercial;RESENDE;RJ;SUDESTE;BR;27510060;douglasanascimento@hotmail.com;(24) 921967451;Cancelado
104680;Douglas Da Silva Farias ;129;2;3;01/10/90;Rua;Da Saudade;1997;Casa;Modulo 05;JUINA;MT;CENTRO OESTE;BR;78320000;douglasandremt@gmail.com;(66) 976689044;Cancelado
104681;Douglas Da Silva Fazzani ;121;2;1;16/07/97;Rua;Da Saudade;121;;Jardim Liberdade;MARINGA;PR;SUL;BR;87047080;doisa@bop.com.br;(44) 982330851;Concluido
104682;Douglas Da Silva Felicio ;133;2;4;13/02/92;Rua;Da Saudade;1747;A Casa 7;Santa Cruz;RIO DE JANEIRO;RJ;SUDESTE;BR;23510242;dbellsena@yahoo.com.br;(21) 999559066;Trancado
104683;Douglas Da Silva Felix Junior ;135;2;1;08/04/03;Rua;Da Saudade;1300;;Cangaíba;SAO PAULO;SP;SUDESTE;BR;3717130;douglasbenhur7@gmail.com;(11) 949905101;Concluido
104684;Douglas Da Silva Ferraz ;123;2;1;25/07/98;Rua;Da Saudade;1862;Bl 3 Apt 101;Tijuca;RIO DE JANEIRO;RJ;SUDESTE;BR;20510110;doug.beserra@gmail.com;(21) 939151615;Ativo
104685;Douglas Da Silva Ferreira ;138;2;1;15/07/02;Rua;Da Sinagoga;350;Bloco 2  Ap204;Jardim Amalia 2;VOLTA REDONDA;RJ;SUDESTE;BR;27250400;douglas.boy@gmail.com;(24) 965799457;Trancado
104686;Douglas Da Silva Ferreira ;127;2;4;20/08/64;Rua;Da Soledade;835;Apto. 1;Austin (Nova Iguaçu);NOVA IGUAÇU;RJ;SUDESTE;BR;26087390;douglasasbr@hotmail.com;(21) 973217539;Trancado
104687;Douglas Da Silva Ferreira ;124;2;1;03/08/00;Rua;Da Soledade;285;;Vila Moema;TUBARAO;SC;SUL;BR;88705060;douglascachoeira@hotmail.com;(48) 995135520;Cancelado
104688;Douglas Da Silva Ferreira ;122;2;1;30/11/02;Rua;Da Taioba;1920;;Parque Ramos De Freitas;SAO PAULO;SP;SUDESTE;BR;2354120;douglasquessada@globo.com;(11) 913012184;Ativo
104689;Douglas Da Silva Ferreira ;126;2;1;30/11/96;Avenida;Da Tâmara;708;;Turf Club;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;BR;28024600;douglascarlos2006@gmail.com;(22) 949056346;Cancelado
104690;Douglas Da Silva Ferreira ;122;2;2;11/01/90;Rua;Da Ternura;961;258;Extensão Do Bosque;RIO DAS OSTRAS;RJ;SUDESTE;BR;28890000;douglas.chessman@gmail.com;(22) 982203404;Ativo
104691;Douglas Da Silva Ferreira ;122;2;1;08/12/97;Rua;Da Torre;650;;Senador Camará;RIO DE JANEIRO;RJ;SUDESTE;BR;23010010;douglas.co@hotmail.com;(21) 935700391;Trancado
104692;Douglas Da Silva Fuentes ;130;2;3;01/07/93;Rua;Da Trindade;1056;Bloco 3 Apt 207;Braz De Pina;RIO DE JANEIRO;RJ;SUDESTE;BR;21215210;douglas.mtj@hotmail.com;(21) 909524033;Cancelado
104693;Douglas Da Silva Gazetta ;135;2;1;27/03/97;Avenida;Da Turquia;752;61 - Torre Phoenix;Jd Dom Bosco;SAO PAULO;SP;SUDESTE;BR;4757020;douglassilvanunes@uol.com.br;(11) 955673235;Trancado
104694;Douglas Da Silva Gois ;120;2;1;04/10/00;Rua;Da União;92;1316;Eldorado Do Sul;CENTRO NOVO;RS;SUL;BR;92990000;douglasr463@gmail.com;(55) 986290688;Ativo
104695;Douglas Da Silva Gomes ;129;2;3;07/08/94;Rua;Da Unidade;986;Casa;Ponta Negra;NATAL;RN;NORDESTE;BR;59090680;douglasguanaes@gmail.com;(84) 904857456;Trancado
104696;Douglas Da Silva Gomes Herbster ;137;2;1;08/08/00;Rua;Da Universidade;1029;Apto 32;Centro;RIBEIRAO PIRES;SP;SUDESTE;BR;9400110;douglas_manera@hotmail.com;(11) 996680270;Concluido
104697;Douglas Da Silva Gomes Junior ;122;2;1;02/01/96;Rua;Da Vaidade;1671;;Jardim Rodolfo Pirani;SAO PAULO;SP;SUDESTE;BR;8310350;douglasantistas@gmail.com;(11) 968490810;Concluido
104698;Douglas Da Silva Goncalves ;128;2;1;02/08/00;Rua;Da Vendinha;1261;Apto 16;Vila Guarani (Z Sul);SAO PAULO;SP;SUDESTE;BR;4316070;dwdorigon@gmail.com;(11) 981791226;Trancado
104699;Douglas Da Silva Goncalves ;135;2;1;01/03/99;Avenida;DagmaAntonio Bueno;1628;;Centro;DIADEMA;SP;SUDESTE;BR;9920000;hpprogramer@yahoo.com.br;(11) 955211047;Trancado
104700;Douglas Da Silva Goncalves ;123;2;2;08/09/94;Rua;DaimleJoao Husch Pereira;1407;Apt 33;Assuncao;SAO BERNARDO DO CAMPO;SP;SUDESTE;BR;9810395;dougfal@hotmail.com;(11) 940223132;Ativo
104701;Douglas Da Silva Goncalves ;129;2;4;17/07/94;Avenida;Daisy Luci Berno;968;Avn Pq Aguas Claras Cj 06;Norte (Aguas Claras);BRASILIA;DF;CENTRO OESTE;BR;71901080;douglaslop@gmail.com;(61) 912018886;Concluido
104702;Douglas Da Silva Gonçalves ;134;2;1;30/10/96;Rua;Dal Canalle;703;Apt 11;Fazendinha;CURITIBA;PR;SUL;BR;81320185;douglasbasso@yahoo.com.br;(41) 983053589;Concluido
104703;Douglas Da Silva Gonçalves ;132;2;1;12/10/99;Rua;Dal Corso;611;;Weissópolis;PINHAIS;PR;SUL;BR;83322250;douglasepmartins@gmail.com;(41) 937643255;Trancado
104704;Douglas Da Silva Gonçalves ;129;2;1;10/07/98;Rua;Dalia;1861;Ap 2;Sao Francisco;ILHEUS;BA;NORDESTE;BR;45659335;kapro@terra.com.br;(77) 971813236;Trancado
104705;Douglas Da Silva Graciano ;125;2;2;27/01/89;Rua;Dalia;640;Casa 07;Santa Cândida;CURITIBA;PR;SUL;BR;82630572;stefanini.dferreira@voeazul.com.br;(41) 918335536;Concluido
104706;Douglas Da Silva Imes ;132;2;1;10/12/95;Rua;Dalia;372;;Vila Sao Tomas;BELO HORIZONTE;MG;SUDESTE;BR;31740080;dfbs10@hotmail.com;(31) 915952397;Ativo
104707;Douglas Da Silva Jeronimo ;129;2;2;31/12/88;Alameda;Dalva;1219;Cs 32;Parque Villa Flores;SUMARE;SP;SUDESTE;BR;13175670;douglasfneves@gmail.com;(19) 906560721;Trancado
104708;Douglas Da Silva Junior ;124;2;2;11/03/92;Rua;DAmadeu Da Luz;111;;Vila Rosaria;SAO PAULO;SP;SUDESTE;BR;8021310;andoug@hotmail.com;(11) 988448643;Cancelado
104709;Douglas Da Silva Justo ;126;2;3;03/10/86;Travessa;DAmaro Pedrosa;1322;Casa;Guaianazes;SAO PAULO;SP;SUDESTE;BR;8412090;douglas_patez@yahoo.com.br;(11) 927795979;Trancado
104710;Douglas Da Silva La Ferrera ;126;2;1;18/01/00;Rua;Damasceno Vieira;1545;;Bangu;RIO DE JANEIRO;RJ;SUDESTE;BR;21815390;douglasaf@gmail.com;(21) 982002284;Trancado
104711;Douglas Da Silva Lacerda Junior ;133;2;4;20/11/93;Rua;Damasceno Vieira;1997;Casa De Esquina;Planalto;CUIABÁ;MT;CENTRO OESTE;BR;78058761;douglas.sistemas.unic@gmail.com;(65) 932774521;Concluido
104712;Douglas Da Silva Leandro ;136;2;4;09/10/89;Rua;Damasceno Vieira;1491;Casa;Jardim Tranquilidade;GUARULHOS;SP;SUDESTE;BR;7052030;dfderoza@gmail.com;(11) 968658363;Concluido
104713;Douglas Da Silva Leite ;132;2;1;06/04/00;Rua;Damasco;643;Ap 201;Jardim Universitario;MARINGA;PR;SUL;BR;87020280;douginfo@gmail.com;(44) 916624935;Trancado
104714;Douglas Da Silva Leite ;120;2;1;20/07/00;Rua;Dambros E Piva 745;1613;148;Sao Paulo;SAO PAULO;SP;SUDESTE;BR;1109010;gianalexandrino@gmail.com;(11) 976602949;Ativo
104715;Douglas Da Silva Leite ;123;2;1;18/09/95;Avenida;Damiana Da Cunha;783;301;Paulista;CAMPO BOM;RS;SUL;BR;97000000;d.douglasgomes@gmail.com.br;(51) 941617303;Ativo
104716;Douglas Da Silva Leite Junior ;132;2;1;08/02/96;Rua;Damião Da Silva;598;;Parque Peruche;SAO PAULO;SP;SUDESTE;BR;2539030;xdricabapt@hotmail.com;(11) 963094836;Cancelado
104717;Douglas Da Silva Leite Morais ;130;2;2;24/10/91;Rua;Danfer;69;Casa 3;Munhoz Jr;OSASCO;SP;SUDESTE;BR;6243230;dougfaustino@hotmail.com;(11) 938327894;Trancado
104718;Douglas Da Silva Leles ;129;2;4;09/03/89;Rua;DAngelo Barleta;94;;Jardim Planalto;PAULINIA;SP;SUDESTE;BR;13145145;douglas.lobo@hotmail.com;(19) 996249690;Cancelado
104719;Douglas Da Silva Lima ;128;2;1;27/10/96;Rua;DAnibal Moreira;1731;;Centro;SAO MIGUEL DO OESTE;SC;SUL;BR;89900000;douglas.hammes1@gmail.com;(49) 992685350;Concluido
104720;Douglas Da Silva Lima ;131;2;3;18/08/92;Rua;Daniel Antônio Rodrigues;1805;Apto 312;Copacabana;RIO DE JANEIRO;RJ;SUDESTE;BR;22031010;douglas.jefferson@gmail.com;(21) 942436138;Trancado
104721;Douglas Da Silva Lima ;121;2;2;23/11/89;Rua;Daniel Kujawski;1206;Cj Antares;Santa Cruz;RIO DE JANEIRO;RJ;SUDESTE;BR;23590040;douglas.costa@netservice.com;(21) 981381700;Ativo
104722;Douglas Da Silva Lima Filho ;135;2;2;09/09/94;Rua;Daniel Mirabelo;739;;Jardim Deia;JACUTINGA;MG;SUDESTE;BR;37590000;juninhodexango@hotmail.com;(54) 985124337;Concluido
104723;Douglas Da Silva Lopes ;124;2;1;25/08/96;Rua;Danilo Galeazzi;980;Apto 63;Parque São Domingos;SAO PAULO;SP;SUDESTE;BR;5112010;dojopuju1981@gmail.com;(11) 979215211;Concluido
104724;Douglas Da Silva Machado ;120;2;3;22/05/91;Rua;Dante;1263;Casa 01;Jardim Brasil (Zona Norte);SAO PAULO;SP;SUDESTE;BR;2234000;douglas.hardware1@hotmail.com;(11) 969297175;Ativo
104725;Douglas Da Silva Maia ;134;2;4;09/01/94;Travessa;Dante Luiz Jonior;92;Ca;Centro;BRUMADO;BA;NORDESTE;BR;46100000;douglas@magnesita.com.br;(77) 945260727;Concluido
